impr,lang,query,blog,blog_pos,tour,tour_pos
22,en,evet,/en/blog/borjomi-complete-guide/,2,/en/ekskursiya/rtveli-grape-harvest/,10
21,ru,вардзия из тбилиси,/blog/vardzia/,7,/ekskursiya/ekskursiya-vardzia/,7.6
21,ru,батуми тбилиси,/blog/poezd-tbilisi-batumi/,4,/ekskursiya/tur-batumi-iz-tbilisi/,58.2
21,ge,ურეკის პლაჟი,/ge/blog/ureki-beach/,2.7,/ge/ekskursiya/ekskursiya-ureki-iz-tbilisi/,5
21,en,თბილისი ბათუმი,/en/blog/tbilisi-batumi-train/,4,/ekskursiya/tur-batumi-iz-tbilisi/,76.7
21,en,martvili canyon ticket price 2026,/en/blog/martvili-canyon/,8.7,/en/ekskursiya/ekskursiya-kanyony-zapadnoy-gruzii/,10.8
21,en,kazbegi tour,/en/blog/kazbegi-day-trip-from-tbilisi/,13.4,/ekskursiya/ekskursiya-kazbegi-iz-tbilisi/,78.2
20,ru,ртвели 2026,/blog/tbilisoba/,2.9,/ekskursiya/rtveli-sbor-vinograda/,7.5
20,ru,мцхета как добраться,/blog/mtskheta-iz-tbilisi/,18.5,/ekskursiya/ekskursiya-mtskheta-iz-tbilisi/,33.2
20,ge,წინუბნის აბანოები,/ge/blog/sulfur-baths-tbilisi/,9.9,/ge/ekskursiya/ekskursiya-abanotubani/,10.5
20,en,тбилиси батуми,/en/blog/batumi-from-tbilisi/,3,/ekskursiya/tur-batumi-iz-tbilisi/,71.3
